Título,Hora,Fecha,Autor,Texto Completo,Categoría
Los caseteros anuncian paros en la Feria de Abril,20:14h,31.03.2022,"
Daniel Ríos
 
Beatriz Rodriguez
 ","""O cambia la norma o cambia la Feria"". Es el lema bajo el que la Asociación Andaluza de Empresarios de Hostelería de Feria ha decidido plantarse y no trabajar en las próximas ferias de la comunidad, ante la imposibilidad, afirman, de poder cumplir con la reforma laboral aprobada recientemente por el Gobierno central. Una decisión que, de no revertirse, afectará a las aproximadamente 42 ferias que se celebran esta temporada en toda Andalucía y en las que la asociación tiene un 90% de presencia.
En la provincia de Sevilla, la primera cita damnificada será la del municipio de Mairena del Alcor, que se celebra del 20 al 24 de abril. Y, posteriormente, la Feria de Abril de la capital (del 30 de abril al 7 de mayo), una de las de mayor envergadura de la comunidad. De las 1.056 casetas que se instalan en el Real de Los Remedios, la asociación representa a unas 800.
El sector afirma que la nueva normativa estatal introduce ""importantes limitaciones"" a la contratación temporal, con unas condiciones que ""dificultan y hacen prácticamente inviable"" trabajar en estos eventos, donde priman los contratos de corta duración, con jornadas maratonianas de hasta 14 horas consecutivas al día y sin posibilidad de establecer los descansos obligatorios que impone la ley, lo que exige ""plena disponibilidad y horarios prolongados de atención al público"".
""Lo que queremos es poder trabajar sin miedo a que nos multen, dignamente y con libertad"", asegura a 20minutos José David Martín González, presidente de la Asociación Andaluza de Empresarios de Hostelería de Feria –que aglutina a unos 10.000 trabajadores–, que insiste en que el gremio ""quiere trabajar"" tras dos años y medio en blanco como consecuencia de la pandemia del coronavirus, que ha provocado ""importantes pérdidas y la venta de enseres por parte de muchos profesionales que no podían pagar las letras de las naves que tenían"". Muchos, continúa, ""se han quedado en el camino y otros se han ido a otros sectores"".
Lo que ahora reclaman a la Administración es que ""el Estatuto de los Trabajadores se adapte a la idiosincrasia de las ferias"", explica por su parte a este periódico Vanessa Villegas, socia de Sanguino Abogados y asesora jurídica de los caseteros. Concretamente, lo que piden es un ""régimen especial"" que contemple las particularidades de este sector, al igual, dicen, que sucede con los artistas o con los profesionales sanitarios.
Conscientes de que la modificación de la normativa estatal ""no se puede hacer de un día para otro"", lo que sí reclaman para este año es un ""régimen más flexible"" durante la celebración de las ferias, continúa la abogada, de forma que puedan trabajar sin ese temor a la multa que alega el gremio. Y, ante todo, piden que ""haya un acercamiento con la Administración, que esta conozca el problema y las especificidades"" de estos profesionales, que confían en que alguien les ""tienda la mano"", ya que, afirman, ""si hemos llegado a este punto es porque nadie nos echa cuenta"".
El sector explica que para poder ajustarse fielmente a la norma sería necesario doblar los turnos y, por lo tanto, duplicar la plantilla que trabaja en las ferias, principalmente en las de mayor calado, como es la Feria de Abril de la capital hispalense, extremo que ""no es posible porque no hay suficientes trabajadores"". No en vano, actualmente hay unas 200 casetas en la Feria de Sevilla sin encargados, señala Martín, ya que, como explicaba antes el representante del sector, muchos caseteros han dejado la profesión por culpa de la crisis sanitaria. En este sentido, el delegado municipal de Gobernación y Fiestas Mayores del Ayuntamiento, Juan Carlos Cabrera, confiaba hace unos días en que el problema se solucione y ""todas las casetas estén atendidas"", ya que, consideró, ""hay una oportunidad de mercado"".
La opción de doblar los turnos para no exceder la jornada laboral de 8 horas diarias, además de no ser viable por falta de personal, tampoco compensa económicamente a los hosteleros de la Feria de Abril. Tal y como explica el presidente de la Asociación Andaluza de Empresarios de Hostelería de Feria a este medio, hay muchos trabajadores que se cogen vacaciones en sus empleos para poder trabajar en la semana de farolillos de Sevilla, ya que ""en siete días ganan lo mismo que en un mes en sus trabajos"". En caso de que solo trabajaran 8 horas al día, el salario sería mucho menor y ""no les interesaría"".
Precisamente respecto al salario de los profesionales que atienden las barras en las casetas, y tras difundirse en las redes sociales una oferta de trabajo en la que se ofertaban 450 euros por un horario de 15.30 a 3.00 de la madrugada, Martín se ha mostrado tajante: ""No es cierto, en la Feria nadie gana 450 euros"".
El alcalde de Sevilla, Antonio Muñoz, también se ha manifestado sobre el anuncio del paro de los hosteleros, asegurando que la ciudad necesita que se celebre la Feria, no solo ""por una cuestión económica, sino también anímica"". Así, y pese a recordar que se trata de un conflicto que excede las competencias municipales, el regidor hispalense se ha comprometido a ""arrimar el hombro"" para que la fiesta se celebre con normalidad.
Por su parte, fuentes del Ministerio de Trabajo han explicado a 20minutos que las particularidades de contratación de este colectivo ""se pueden canalizar perfectamente a través de las modalidades contractuales recogidas en la reforma laboral, como los contratos fijos discontinuos y, en su caso, cuando exista causa, los contratos de duración determinada, como los ocasionales"". Las actividades estacionales, recuerda Trabajo, ""no son incompatibles con la estabilidad del empleo"" tras la reforma laboral.
El Real Decreto 32/2021, continúan las mismas fuentes, ""no modificó, en ningún caso, el régimen de jornada"", que en el caso de ""cualquier colectivo"", debe ""respetar, entre otros, los artículos 34 y 37 del Estatuto de los Trabajadores"". Lo contrario, señala el Ministerio, ""supone contravenir una cuestión de extraordinaria importancia para las personas trabajadoras: la prevención de riesgos laborales"".
Aumentar las jornadas sin respetar las normas mencionadas supondría, explican fuentes ministeriales, ""transgredir la Directiva de Tiempo de Trabajo de la Unión Europea, de acuerdo con diversos pronunciamientos del Tribunal de Justicia de la Unión Europea"". Y concluyen: ""Es verdaderamente sorprendente que el régimen de la jornada de trabajo, que lleva décadas en el estatuto, se cuestione en este momento en elementos tan básicos como el descanso entre jornadas o la limitación de las horas extras para poner en duda la reforma, que no abordó estos temas, que se abordarán en una futura ley de usos del tiempo"".",andalucia
La Policía evita que un joven se arroje al vacío desde un noveno piso tras ingerir una gran cantidad de pastillas,19:32h,31.03.2022,"
20minutos
 ","La Policía Nacional ha evitado que un joven de 23 años, paciente psiquiátrico, se arrojase desde la azotea de un edificio de nueve plantas en Dos Hermanas (Sevilla), tras ingerir una gran cantidad de pastillas.
El joven llegó a estar colgado de la cornisa, agarrado solamente con los dos brazos, con las piernas colgando en el vacío. Fue a través de una llamada al 091, el pasado 23 de marzo, en la que los padres del joven alertaban de la situación de su hijo, que amenazaba con lanzarse al vacío, según adelanta Diario de Sevilla.
Cuando los agentes llegaron al lugar, vieron al joven en la azotea, solo con un móvil con el que se comunicaba con su padre, y a través del cual le expresaba su intención de tirarse.
Así, los agentes de la Comisaría de Policía Nacional de Dos Hermanas consiguieron llegar hasta el joven subiendo a la azotea del bloque de pisos, donde uno de ellos consiguió acercarse por la espalda para reducirlo.
Las autoridades han remarcado que el joven mostró mucha resistencia a ser agarrado, por lo que, en varias ocasiones, los tres estuvieron en riesgo de caer al vacío. Finalmente, el joven fue trasladado e ingresado en el área psiquiátrica de un centro hospitalario de Sevilla.",andalucia
Al menos un muerto y tres heridos graves tras la explosión en una fábrica en Morón de la Frontera,18:05h,31.03.2022,AGENCIAS,"Al menos tres personas resultaron heridas de gravedad y una se encontraba desaparecida tras una explosión que se produjo este jueves en una fábrica de incubación de huevos en Morón de la Frontera (Sevilla). Finalmente fue localizado el cadáver de la persona desaparecida en la deflagración.
El fallecido tenía 39 años de, era vecino de la localidad sevillana, y era muy conocido y apreciado en el municipio, especialmente por su faceta como deportista.
El 112 informó de que a las 16:40 horas se produjo una explosión en una nave en la carretera de Arahal de Morón de la Frontera, en el kilómetro 14 de la A-8125.
Algunos testigos afirmaron que se habían producido dos explosiones casi al mismo tiempo.
La fábrica afectada es la empresa Tomás Guerrero, donde los testigos alertaron de una explosión y una gran humareda.
A la zona se desplazaron efectivos de Emergencia Sanitarias, Policía Nacional, Inspección de Trabajo y Riesgos Laborales.
Los heridos fueron evacuados en ambulancia con heridas graves al hospital Virgen del Rocío, mientras que para uno de ellos ha sido necesario activar un helicóptero.
La carretera entre Arahal y Morón estuvo cortada al tráfico para liberar el paso de los servicios de emergencia y evitar que alguien se acercase a la fábrica siniestrada por el riesgo de nuevas explosiones.
El alcalde de Morón de la Frontera, Juan Manuel Rodríguez, se desplazó hasta el lugar de los hechos, donde describió la escena como ""dantesca"", y señaló y que, en principio, se presumía que en la nave solo estarían trabajando las cuatro personas ya mencionadas.
Posteriormente, Rodríguez agradeció el despliegue de los servicios de emergencia y decretó dos días de luto oficial a partir de este viernes, una vez que sean informados los portavoces de todos los grupos políticos.
En las redes sociales oficiales del Ayuntamiento, Rodríguez explicó que, por el momento, se desconocían las causas del accidente.
El alcalde agradeció la rápida intervención de los Bomberos y Policía Local de Morón, así como de los servicios médicos desplazados al lugar de los hechos,",andalucia
La Junta abre el plazo para solicitar algunas de las 126.000 plazas de guardería que oferta en Andalucía,17:44h,31.03.2022,"
20minutos
 ","La Junta sigue apostando por la educación de primer ciclo de Infantil, de 0 a 3 años, como una herramienta que, aunque no es obligatoria, ""está considerada esencial en el desarrollo cognitivo de los niños y con repercusión directa en su futuro rendimiento académico, además de suponer una importante medida para la conciliación familiar"".
Así, coincidiendo con la apertura del plazo de solicitudes de inscripción, que estará vigente hasta el 3 de mayo, la Consejería de Educación y Deportes anunció que ofertará para el próximo curso 2022-23 un total de 126.106 plazas públicas (33.700 en Sevilla), lo que supone 522 nuevas plazas. Además, la red de centros adscritos se incrementa en 20 hasta alcanzar las 2.165 escuelas. Estas se dividen entre las de titularidad de la Junta y las guarderías que se han sumado al Programa de ayudas a las familias.
La Consejería destaca que Andalucía cuenta con la cuarta mayor tasa de escolarización entre 0 y 3 años de España, un 48,8% en este curso, cifras que se sitúan ya en los niveles previos a la pandemia y que ""superan con creces"" las recomendaciones de la Unión Europea para este 2022, con tasas de cobertura superiores al 33%.
Según detalla Educación, la presentación de las solicitudes de admisión de todos los niños que accedan por primera vez se podrá realizar de forma telemática del 1 de abril al 3 de mayo, ambos inclusive, a través de la Secretaria Virtual de la página web de la Consejería de Educación y Deporte: https://www.juntadeandalucia.es/educacion/secretariavirtual/solicitudes/.
La solicitud se podrá presentar también, en el mismo plazo, por duplicado en el centro educativo elegido, acompañada de la documentación indicada en el impreso. Previamente, los centros publicarán en sus tablones de anuncios el número de plazas vacantes por cada uno de los tramos de edad, así como su área de influencia.
Asimismo, las familias podrán pedir en el mismo periodo, del 1 de abril al 3 de mayo, la bonificación de servicios de atención socioeducativa y comedor escolar en el centro del primer ciclo de Educación Infantil (hasta tres años) que soliciten, con el fin de reforzar el apoyo a las familias para la escolarización en esta etapa educativa. Los centros educativos publicarán en su tablón de anuncios el día 9 de mayo la relación provisional de solicitudes baremadas y se abrirá entre el martes 10 al lunes 23 de mayo el plazo para la presentación de alegaciones. Las listas definitivas se publicarán entre el 24 y el 30 de mayo y la matrícula deberá formalizarse del 1 al 10 de junio.",andalucia
Qué tiempo hará en Córdoba en Semana Santa 2022,16:13h,31.03.2022,"
20minutos
 ","La meteorología es uno de los factores que más preocupan a los fieles y amantes de la Semana Santa, sobre todo, después de dos años en los que no han podido salir los pasos procesionales debido a la crisis sanitaria.
Con unas cifras que permiten ahora volver a salir a las calles para homenajear en las estaciones de penitencia a las diferentes imágenes de las hermandades, los fieles esperan que no se vea truncado su plan debido a las lluvias que impiden salir en procesión.
Es por ello que la Agencia Estatal de Meteorología (AEMET) ha publicado un informe analizando el tiempo que ha hecho en las fechas de esta Semana Santa desde el año 1981  y hasta el 2021, ambos inclusive.
Así se puede observar un resumen de cómo han sido los días comprendidos entre el 10 y el 18 de abril, en los que cae la Semana Santa 2022, en los últimos 41 años, lo que no quiere decir que sea una predicción de este año, pero sirve para hacerse una día.
En primer lugar, el estudio muestra las temperaturas medias que se dan en la geografía española entre el 10 y el 18 de abril de los últimos 41 años, por lo que se puede ver que los termómetros marcan entre los 13 y los 16ºC en la zona de Andalucía.
Más significativo es el dato de las temperaturas máximas absolutas, ya que Córdoba se coloca como el segundo valor más elevado, con 34,0 °C de temperatura máxima alcanzada, un dato completamente veraniego.
Por otro lado, hay que saber que las precipitaciones son frecuentes durante esta  época en toda la península, ya que ""el número medio de días de precipitación está comprendido entre 3 y 4, que equivale aproximadamente al 40% de los 9 días considerados "". Eso sí, los valores más elevados coinciden con Galicia y Cantábrico, pero están presentes en todo el país.
Si nos fijamos únicamente en Andalucía, el número de días de precipitación más bajo durante estas fechas corresponde a la costa de Almería, con entre 1 y 2 días de precipitación, pero le sigue la mayor parte de Andalucía, con 2 y 3 días.
Además, los expertos de Meteored desde eltiempo.com indican que en la Semana Santa de 2021, que cayó antes en el calendario, fue una ""Semana Santa de contrastes"", debido a que comenzó con temperaturas en alza pero que terminó con tormentas. De hecho, el sábado de la Semana Santa del 2021 hubo precipitaciones generalizadas en todo el mapa, menos en las islas.",andalucia
Qué tiempo hará en Sevilla en Semana Santa 2022,13:56h,31.03.2022,"
20minutos
 ","Uno de los factores que más preocupa a todos los fieles y aficionados a ver y participar en las salidas procesionales de la Semana Santa es, precisamente, la meteorología, ya que muchas hermandades se han visto en otros años obligadas a no sacar sus pasos a la calle debido a las lluvias.
De hecho, este año la preocupación es mayor todavía, ya que desde el 2019 no se han podido celebrar las procesiones debido a la crisis sanitaria, por lo que las ganas de celebrar esta fiesta religiosa ha aumentado todavía más.
Es por ello que la Agencia Estatal de Meteorología (AEMET) ha publicado un informe para hacerse una día de cómo puede ser el tiempo en los días de Semana Santa 2022, es decir, entre los días que van del 10 al 18 de abril.
Para ello, elaboran un análisis del mismo periodo desde el año 1981 y hasta el 2021, ambos inclusive, obteniendo un resumen de cómo han sido estos días en los últimos 41 años, aunque no debe tomarse como una predicción.
Las temperaturas en los últimos 41 años en la mitad sur peninsular han sido entre los 13 y los 16ºC, cerca de los 17ºC en la provincia de Sevilla. En cuanto a las temperaturas máximas absolutas, en Sevilla se han alcanzado temperaturas veraniegas de hasta 32,7 °C.
Otra de las tablas hace referencia al número de días totales, expresado en porcentaje, en los que se registraron precipitaciones. En el caso de Sevilla, el 14 de abril, que este año es el Jueves Santo, hubo precipitación en un 39% de los días, es decir, ha llovido en un total de 16 días de 14 de abril que se han dado en los últimos 41 años.
Además, los expertos de Meteored desde eltiempo.com indican que en la Semana Santa de 2021, que cayó antes en el calendario, fue una ""Semana Santa de contrastes"", debido a que comenzó con temperaturas en alza pero que terminó con tormentas. De hecho, el sábado de la Semana Santa del 2021 hubo precipitaciones generalizadas en todo el mapa, menos en las islas.",andalucia
"Vómitos en gatos, cuándo son normales y cuándo debemos acudir al veterinario",08:54h,31.03.2022,"
Inés López
 ","Cuando hay un gato en el hogar existen algunas problemáticas con las que todos los dueños deberán lidiar, como la gestión del rascado de estos mininos o la abundancia de pelo por todas partes. Como consecuencia de esto último, muchos felinos terminan teniendo problemas con las bolas de pelo (de ahí la importancia del cepillado) que, en muchas ocasiones les producirá vómitos. Sin embargo, ¿cómo podemos saber si se trata solo de eso y no hay una enfermedad más grave detrás?
""Los vómitos en los gatos pueden producirse por varias razones. Principalmente, surgen por problemas digestivos como gastritis, pancreatitis, bolas de pelo, parasitosis, alteraciones alimentarias u otras patologías como la diabetes, el hipertiroidismo o la insuficiencia renal"", explica Paula González, veterinaria de AniCura Asturpet Hospital Veterinario.
Por lo general, si el sistema digestivo de nuestro gato funciona adecuadamente será capaz de eliminarlo sin dificultad. Los vómitos por bolas de pelo aparecen más en aquellos felinos de pelo largo, ya que se pueden formar bolas de pelo que tienen que expulsar mediante vómitos. ""Si el vómito se produce de manera frecuente puede ser indicativo de alguna enfermedad subyacente y es necesario llevarlo a nuestro veterinario de confianza para que indague sobre la causa principal"", detalla González.
""Lo más importante es distinguir los vómitos agudos de los crónicos, ya que de ello va a depender la premura con la que debemos llevar a nuestro gato al veterinario"", cuenta la veterinaria. ""Si nuestro gato vomita varias veces al día y todo lo que ingiere lo expulsa, es necesario llevarlo de urgencia, ya que corre el riego de deshidratarse"".
Otras de las ocasiones en la que debemos preocuparnos es cuando el vómito del animal es crónico. ""Si vomita dos o tres veces al mes, come menos de lo normal y/o notamos que ha perdido peso, es necesario revisarlo ya que es probable que haya una enfermedad de base"", añade la experta.
El tratamiento a seguir para que nuestro pequeño peludo se recupere variará en función de la causa que esté provocando los vómitos. ""En ocasiones es algo tan sencillo como un cambio de dieta, que puede tratar, por ejemplo, problemas de intolerancias alimentarias o de bolas de pelo"", explica González.
""Otras veces se necesita de un amplio estudio veterinario para diagnosticar y tratar adecuadamente los vómitos de nuestro gato"", añade. ""Además, es importante que los cuidadores de gatos realicen un riguroso seguimiento vacunal y una desparasitación adecuada, ya que así se pueden descartar muchos agentes infecciosos que provocan los vómitos en nuestros gatos, disminuyendo así la lista de diagnósticos diferenciales y ayudando a encontrar la causa principal de dichos vómitos"", concluye la veterinaria.",animaleros
"Tres comportamientos que no te gustan de tu perro pero que refuerzas sin saberlo: ""Cuanto más tiempo pase, más trabajoso será modificarlos""",08:51h,31.03.2022,"
Nani F. Cores
 ","¿Tu perro tiene la costumbre de saludar a cualquier persona poniéndole encima las dos piernas delanteras? ¿Consigue que le des sus juguetes favoritos a base de ladridos? ¿Tira demasiado de la correa cuando salís de paseo? ¿Te has parado a pensar que estos comportamientos que tanto te desagradan pueden estar siendo reforzados por ti sin darte cuenta de ello? Analizamos con Mar González de la Higuera, educadora canina y técnica en terapia asistida de la escuela Educando Perros de Pinto, tres comportamientos frecuentes en los perros que sus cuidadores tienden a reforzar sin querer así como las posibles soluciones para corregirlos.
Para la educadora canina de Educando Perros el ladrido aprendido es uno de los comportamientos más habituales en los perros reforzados de forma inconsciente por sus dueños. ""Esto significa que ladrar le ha funcionado para obtener algo que quería: atención, objetos... Por ejemplo, hay un objeto que el perro reclama o quiere caricias o simplemente que le prestemos atención, entonces ladra y es correspondido por nosotros”. Según González de la Higuera, con solo una vez que este comportamiento haya obtenido un resultado de nosotros, el can tenderá a ladrar cada vez que desee algo como método para pedir las cosas.
La solución a este problema pasa por ignorarle: “Lo ideal es que desde cachorrito ignoremos ese comportamiento, identificando cuando el ladrido o lloriqueo no es generado por un malestar o miedos”.
¿Es posible corregir esta conducta cuando el perro ya lleva tiempo utilizándola para obtener lo que desea? “Cuanto más dejemos el comportamiento más trabajoso será modificarlo pero no imposible y se logra”. Curiosamente, la educadora señala que es más difícil cambiar los hábitos del propietario que los del perro. “Decirle al propietario que ignore ese comportamiento es muy complicado porque inconscientemente se acaban haciendo cosas que no se deben: como mirarle o decirle calla. Ahí entramos en su campo visual por lo que ya tomamos contacto”.
Otro de los comportamientos más comunes en los perros que suelen alentar sin saberlo sus cuidadores es el de poner las patas encima de la gente para saludarla.
“Por norma general a la gente no le gusta que cuando un desconocido toca a su perro éste se suba encima. Sin embargo, luego, de forma inconsciente llegamos a casa, el perro viene a saludarnos, se sube encima y nosotros le dejamos y le tocamos”, explica González de la Higuera. El conflicto surge porque el perro no sabe discriminar que hay gente con la que puede hacerlo y gente con la que no. “Por lo tanto, hay que decidirse: o le dejamos siempre o no”.
Esta conducta, como aclara además la experta, es muy inherente en todos los perros por lo que la corrección pasa por “intentar tocarle solo cuando tenga las cuatro patas en el suelo”.
¿Por qué los perros son tan propensos a esta postura? “Por norma general hay ciertas razas que lo hacen más que otras. Sobre todo las que son más corporales, como los retriever o los labradores que son tremendamente sociales, tienden a poner mucho las patas”, indica. Sin embargo, la mayoría de los perros lo hacen porque desde que son cachorros los seres humanos lo hemos reforzado. “Nos parece divertido que se ponga sobre dos patitas o que cuando me tiro en el suelo se me ponga encima y, este tipo de cosas con los perros se refuerzan muy rápido. Desde que llegan a casa se les empieza a tocar en esa posición y ellos, por su parte, se suben para contactar con nosotros”.
La educadora aclara que “eso no quita que saludes a tu perro y le des todo el cariño del mundo pero tienes que ser consciente que si le dejas subirse encima puede derivar en una conducta perjudicial si lo repite con un niño o con una persona mayor a los que puede desestabilizar fácilmente”.
Para González de la Higuera éste es otro comportamiento que avivan sin querer los seres humanos: “Sobre todo los niños y las personas que no tenemos un buen manejo de la correa”. ¿En qué consiste? “El perro tira de la correa y por no generar tú otro tirón acabas por ir a su paso o se dan tirones continuamente pensando que así controlamos la trayectoria del animal”.
Resolver este problema no pasa por generar otro tirón o pararnos sino por enseñar desde cachorros a que vayan adecuadamente con nosotros paseando con la correa puesta gracias al refuerzo positivo y al propietario a hacer un buen uso de la misma: “Cada vez que me mire le premio, si gira conmigo también, si cambio de sentido y viene conmigo también le premio. Es decir, todo lo que requiera atención se lo voy premiando desde que es pequeñito”.
La educadora canina insiste en que no tiene ningún sentido devolverle el tirón al perro ni pararse porque el can no sabe interpretar esas señales. “El perro que está tirando de la correa no piensa: ‘uy si mi dueño se para significa que es porque estoy tirando y lo que tengo que hacer es no tirar’. No, lo que hará será pararse contigo y una vez que inicies el paso volver a tirar y si tiramos simplemente escapa de la fuente de dolor que somos nosotros”.
¿Cuál es la mejor solución? “Acudir a un centro canino donde nos enseñen un buen manejo y no dejar que el problema se agrande cada vez más”.",animaleros
"Los comercios especializados piden que la nueva ley de bienestar animal les permita vender conejos, roedores o aves",09:41h,30.03.2022,"
20minutos
 ","Los principales actores del comercio especializado de animales de compañía, como AEDPAC, KIWOKO, Miscota, Tiendanimal, Koala, Mascotas Ávila o Verdecora, han impulsado y participado un foro tras el que han alertado de que la aprobación del anteproyecto de ley de bienestar animal, que entre otros aspectos clave prohíbe la venta de animales en tiendas de mascotas con la única excepción de los peces o su intermediación en los procesos de adopción, ""podría fomentar el mercado negro y privar a las protectoras de los recursos que les ofrecen las entidades privadas"". Por ese motivo, solicitan al Gobierno la revisión de dicho anteproyecto, ""atendiendo a las aportaciones y sugerencias de los operadores del sector"".
El ‘I Encuentro Sociedad – Bienestar Animal’, en el que también han participado las asociaciones ASAC ASAC (Asociación del Sector del Animal de Compañía) y AEDPAC (Asociación Española de la Industria y el Comercio del Sector del Animal de Compañía) y la protectora Amigos Cipa, ha estado dividido en tres bloques: uno primero dedicado a las mejoras que consideran imprescindibles en el anteproyecto; otro en el que se ha debatido la realidad del comercio de animales de compañía en España y uno último centrado en las adopciones.
Ha sido el segundo bloque del debate el que ha dado a lugar a la principal reivindicación, sustentado en el artículo 32, de prohibiciones específicas, que el punto K impide: ""La comercialización de animales de compañía, excepto peces, en tiendas, así como su exhibición y exposición al público con fines comerciales"". Es decir, que de entrar en vigor la ley tal y cómo está planteada, para la adquisición de perros, gatos, roedores, reptiles o aves, habría que acudir directamente a los criadores profesionales o a las entidades de protección animal, eliminando la intervención de intermediarios aunque no obtengan beneficio ninguno en el proceso.
“Prohibir la venta de estos animales en tiendas no es el camino más eficaz para lograr el objetivo que todos buscamos y defendemos de alcanzar el abandono cero, pero sí para promover el mercado negro y la venta irregular de mascotas, al perderse la trazabilidad de los animales”, apuntó el CEO de Grupo IskayPet (KIWOKO y Tiendanimal), Marcos Ruao.
Los retailers, que destacan que en su mayoría no comercializan este tipo de mascotas, creen preciso que la excepción que les permitirá seguir vendiendo peces se amplíe a otras mascotas como conejos, ratones o aves. Además de la posibilidad de fomentar la venta y el regalo sin controlar entre particulares, creen que la legislación en marcha también podría suponer que estos animales dejen de formar parte de las familias.
En este sentido, el CEO de Grupo Buddy (Miscota), Vicent Jornet, expuso que “son muchas las familias que, por sus circunstancias, optan por incluir a mascotas como pequeños animales, que a menudo presentan una mayor dificultad de adopción. El comercio físico, en cambio, además de ganar en accesibilidad, facilita los cuidados adecuados e incluye exigentes políticas que hacen posible el bienestar animal en su actividad y que van desde el servicio de los proveedores hasta la atención al cliente”.
En la misma línea, el CEO de Verdecora, Fernando de Ángel, planteó que “regular la tenencia de animales es necesario y también lo es incluir en este proceso a quienes mejor los conocen, como son los profesionales que se dedican a su cuidado y cuya prioridad no es otra que velar por el bienestar animal en su futuro hogar”.
Este tipo de intercambios también está recogido en el anteproyecto de la siguiente manera: ""La cesión de animales entre particulares deberá ser, en todo caso, gratuita y quedar reflejada por contrato"". El punto I añade la prohibición de ""comercialización, donación o entrega en adopción de animales no identificados conforme a la normativa vigente"".
Durante el encuentro, Marcos Ruao propuso la adopción del modelo de Países Bajos, que ha logrado eliminar prácticamente el abandono y que permite tanto la cría como la venta de animales en tiendas de forma trazada y regulada, pero dispone de un cuerpo de policía especializado (Netherlands Animal Control) que vigila los delitos cometidos contra los animales.
La directora legal de Grupo IskayPet (KIWOKO y Tiendanimal), Claudia Compte, ha propuesto como referencia el modelo francés: ""es un modelo restrictivo, que permite la venta de animales excepto perros y gatos, pero que reconoce el valor del comercio especializado como dinamizador de adopciones, al permitirlas en las tiendas de venta de animales de forma regulada y que garantice en todo momento su protección y su bienestar"".
En este sentido, la presidenta de asociación Amigos Cipa Madrid, Yolanda Domínguez, pidió que, si se elimina la intermediación de los retailers en los procesos de adopción, se deben buscar e implantar nuevas herramientas que permitan suplir “su importante labor”.",animaleros
¿Sueñan los perros mientras duermen?,08:46h,30.03.2022,Irene Marín,"¿Alguna vez te has preguntado qué estará soñando tu perro cuando le ves, plácidamente dormido, moviendo levemente las patitas? Es muy común que los canes hagan sutiles gruñidos y se muevan mientras están dormidos pero, ¿tienen sueños tal y como lo hacemos nosotros?
Ya se han hecho multitud de estudios sobre este tema. Sabemos que los seres humanos tenemos sueños porque la investigación ha demostrado que los impulsos eléctricos en el cerebro pueden activarse durante el sueño y, al parecer, los experimentos realizados con los perros, utilizando las mismas técnicas, sugieren que ellos también experimenten esos mismos sueños.
Escuchar un pequeño gruñido, verles mover las patas como si estuvieran corriendo, verles tener un pequeño espasmo o temblor, son algunos de los signos que nos indican que nuestro peludo esta soñando. La pregunta es: ¿con qué sueñan los perros?
El Dr. Stanley Corern, investigador, psicólogo y autor de los libros ¿Sueñan los perros (1994), Casi todo lo que tu perro querría contarte (2014) o ¿Cómo piensan los perros? (2004), entre otros, explicó en una entrevista a la revista Wamiz que ""el 90 por ciento de las veces, las personas sueñan durante la fase REM"", lo que le lleva a pensar que, si los perros funcionan de manera similar a la nuestra, lo harían también durante esta fase.
""Cuando ellos se van a dormir, su respiración se vuelve más regular, luego vendrá una pequeña ráfaga de movimientos oculares rápidos y, entonces es cuando se comportan como si estuviesen persiguiendo algo en un sueño"", cuenta en la entrevista citada.
Para Corern, es ""más complicado"" saber con qué sueñan los perros, sin embargo afirma que al igual que ""las personas tienden a soñar con cosas cotidianas que suceden durante el día, los perros también"". Así que posiblemente, si tu mascota es de las que persigue gatos, probablemente esté soñando que va corriendo detrás de uno.
En la entrevista concecida a Wamiz, el Dr. Corern explica una ""peculiaridad bastante interesante"" que descubrieron en una de las investigaciones: ""Los perros más grandes tienen menor cantidad de episodios REM, pero los sueños que experimentan tienen una mayor duración"".
De este modo, un perro de raza grande como puede ser un Pastor alemán, puede tener sueños cada 45 minutos, pero durarán unos cuatro minutos; un perro mediano soñará cada 20 minutos, pero la duración será menor a dos minutos; y un perro pequeño, como un Carlino, tendrá más sueños, pero de un minuto cada uno.",animaleros
